"특성별(1)","특성별(2)","경험및변화별(1)",경험및변화별(2),품목군별(1),2022,2023,2024
"전체","소계","구입 경험 (%)",구입 없음,즉석 밥류,12.0,16.0,10.3
"전체","소계","구입 경험 (%)",구입 없음,즉석 국류/찌개/탕류,14.6,22.2,12.5
"전체","소계","구입 경험 (%)",구입 없음,죽/스프류,30.4,41.5,30.0
"전체","소계","구입 경험 (%)",구입 없음,만두/피자류,5.7,12.2,5.2
"전체","소계","구입 경험 (%)",구입 없음,육류,20.5,33.3,20.4
"전체","소계","구입 경험 (%)",구입 없음,수산물,33.9,37.4,26.8
"전체","소계","구입 경험 (%)",구입 없음,소스/양념류,11.6,22.1,11.1
"전체","소계","구입 경험 (%)",구입 없음,즉석 떡볶이/면류,17.1,20.8,13.1
"전체","소계","구입 경험 (%)",구입 있음,즉석 밥류,88.0,84.0,89.7
"전체","소계","구입 경험 (%)",구입 있음,즉석 국류/찌개/탕류,85.4,77.8,87.5
"전체","소계","구입 경험 (%)",구입 있음,죽/스프류,69.6,58.5,70.0
"전체","소계","구입 경험 (%)",구입 있음,만두/피자류,94.3,87.8,94.8
"전체","소계","구입 경험 (%)",구입 있음,육류,79.5,66.7,79.6
"전체","소계","구입 경험 (%)",구입 있음,수산물,66.1,62.6,73.2
"전체","소계","구입 경험 (%)",구입 있음,소스/양념류,88.4,77.9,88.9
"전체","소계","구입 경험 (%)",구입 있음,즉석 떡볶이/면류,82.9,79.2,86.9
"전체","소계","구입 변화",매우 감소 (%),즉석 밥류,3.8,4.0,4.5
"전체","소계","구입 변화",매우 감소 (%),즉석 국류/찌개/탕류,3.6,7.9,7.3
"전체","소계","구입 변화",매우 감소 (%),죽/스프류,11.1,16.3,14.1
"전체","소계","구입 변화",매우 감소 (%),만두/피자류,3.7,4.3,2.9
"전체","소계","구입 변화",매우 감소 (%),육류,8.7,14.0,11.3
"전체","소계","구입 변화",매우 감소 (%),수산물,10.2,13.9,12.5
"전체","소계","구입 변화",매우 감소 (%),소스/양념류,6.3,11.9,8.1
"전체","소계","구입 변화",매우 감소 (%),즉석 떡볶이/면류,6.2,5.8,6.9
"전체","소계","구입 변화",약간 감소 (%),즉석 밥류,7.2,15.5,12.7
"전체","소계","구입 변화",약간 감소 (%),즉석 국류/찌개/탕류,12.8,23.2,18.1
